hour,avg_base_fee,avg_gas_limit,avg_gas_used,avg_tcount
2022-09-26 21:00:00,18297093356.242439,29999901.269360267,15495225.579124574,149.07744107744108
2022-09-26 22:00:00,11623332780.36121,30000000.0,14753946.91638796,147.30769230769241
2022-09-26 23:00:00,6483804065.7333355,30000000.0,15359102.16333334,145.77999999999997
2022-09-27 00:00:00,8001725241.9158268,30000000.0,15208361.925925929,153.39393939393938
2022-09-27 01:00:00,9801661718.4073963,30000000.0,15529914.340067346,161.111111111111
2022-09-27 02:00:00,11101158624.662222,29999902.023411378,15327632.023411369,168.57190635451508
2022-09-27 03:00:00,10240370726.860004,29999999.906666666,15171196.510000005,160.48999999999995
2022-09-27 04:00:00,9520228973.6778584,30000000.0,15501253.832214763,172.33892617449661
2022-09-27 05:00:00,7192858777.093646,29999901.92976588,15120677.511705689,156.18394648829434
2022-09-27 06:00:00,8549175184.3905783,29999901.26936027,15306929.81144781,170.51851851851856
2022-09-27 07:00:00,46045086993.778519,30000000.0,15754594.946308738,286.73489932885917
2022-09-27 08:00:00,12870641008.345644,29999901.600671146,14950379.399328871,191.53355704697984
2022-09-27 09:00:00,7036373268.9496632,30000000.0,15193161.738255033,180.40604026845634
2022-09-27 10:00:00,8277298840.5884333,30000000.0,15372458.819727883,179.07823129251702
2022-09-27 11:00:00,9899853044.02685,30000000.0,15400717.13422819,163.91946308724823
2022-09-27 12:00:00,20818527099.107391,30000000.0,15803884.81208054,169.38255033557044
2022-09-27 13:00:00,26715535361.476665,30000000.0,15017822.673333336,178.86666666666667
2022-09-27 14:00:00,21346092661.587841,30000000.0,15381535.945945946,167.34459459459464
2022-09-27 15:00:00,27737442626.306667,30000000.0,15341363.533333333,165.4966666666667
2022-09-27 16:00:00,47940544427.040268,30000000.0,15408514.409395965,168.91946308724832
2022-09-27 17:00:00,28010163555.478107,30000000.0,15081923.582491584,159.91245791245797
2022-09-27 18:00:00,19591477599.939583,30000000.0,15117883.583892614,153.71476510067109
2022-09-27 19:00:00,14300058120.898985,30000000.0,15511911.212121215,150.31649831649838
2022-09-27 20:00:00,14758949306.697277,30000000.0,14948190.853741497,152.2619047619047
2022-09-27 21:00:00,9712374956.7993126,30000000.0,15292098.969387759,168.82312925170072
2022-09-27 22:00:00,11634963083.979801,30000000.0,15167112.127946125,156.70033670033661
2022-09-27 23:00:00,8327413471.0200644,30000000.0,15425658.826086963,144.85953177257517
2022-09-28 00:00:00,8615347965.83502,29999901.269360278,15317388.828282828,146.60942760942766
2022-09-28 01:00:00,10787448237.62207,29999901.929765869,15293558.464882936,172.29096989966547
